algo,size_bytes,throughput_Bps
SHA256,1024,587461231.7502689
SHA256,16384,1259656667.5658495
SHA256,1048576,1338724842.5071545
SHA256,16777216,1293874544.7253854
SHA512,1024,370972488.8841053
SHA512,16384,585968510.3513592
SHA512,1048576,543238721.5264319
SHA512,16777216,527603144.3797276
